Month,Days,Demand_Peak,Demand_MidPeak,Demand_OffPeak,Max_Demand,Usage_Peak,Usage_MidPeak,Usage_OffPeak,Total_Usage,Cost_Monthly
January,31,0,105,78,105,0,23058.75,23307.25,46366,6961.39124
February,28,0,115,81,115,0,20390,21431.5,41821.5,6458.87471
March,31,0,114,105,114,0,19687.25,26481,46168.25,6950.815173
April,30,0,140,119,140,0,21560.25,24136,45696.25,7165.141763
May,31,159,149,120,159,13865.75,11407,25949,51221.75,11875.25392
June,30,130,120,158,158,12007.75,9734.25,27478,49220,10864.66644
July,31,151,139,147,151,15301.5,11774,26763,53838.5,11937.34695
August,31,150,133,142,150,13644.75,10853.25,26655,51153,11531.62268
September,30,139,124,142,142,12744.25,10179,26577.75,49501,10960.67252
October,31,129,113,124,129,12197.75,10154.75,24114.75,46467.25,10381.99813
November,30,0,104,98,104,0,17439.75,22653.75,40093.5,6249.189123
December,31,0,91,85,91,0,17505.25,22724.75,40230,6176.019878
